kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,tahun
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,2021
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,2,2021
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2021
3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,2021
3271,KOTA BOGOR,LAKI-LAKI,1,2021
3271,KOTA BOGOR,PEREMPUAN,1,2021
3272,KOTA SUKABUMI,LAKI-LAKI,0,2021
3272,KOTA SUKABUMI,PEREMPUAN,0,2021
3273,KOTA BANDUNG,LAKI-LAKI,0,2021
3273,KOTA BANDUNG,PEREMPUAN,9,2021
3274,KOTA CIREBON,LAKI-LAKI,0,2021
3274,KOTA CIREBON,PEREMPUAN,0,2021
3275,KOTA BEKASI,LAKI-LAKI,2,2021
3275,KOTA BEKASI,PEREMPUAN,2,2021
3276,KOTA DEPOK,LAKI-LAKI,0,2021
3276,KOTA DEPOK,PEREMPUAN,2,2021
3277,KOTA CIMAHI,LAKI-LAKI,0,2021
3277,KOTA CIMAHI,PEREMPUAN,0,2021
3278,KOTA TASIKMALAYA,LAKI-LAKI,0,2021
3278,KOTA TASIKMALAYA,PEREMPUAN,3,2021
3279,KOTA BANJAR,LAKI-LAKI,0,2021
3279,KOTA BANJAR,PEREMPUAN,2,2021
3201,KABUPATEN BOGOR,LAKI-LAKI,0,2022
3201,KABUPATEN BOGOR,PEREMPUAN,0,2022
3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,2022
3202,KABUPATEN SUKABUMI,PEREMPUAN,1,2022
3203,KABUPATEN CIANJUR,LAKI-LAKI,0,2022
3203,KABUPATEN CIANJUR,PEREMPUAN,1,2022
3204,KABUPATEN BANDUNG,LAKI-LAKI,1,2022
3204,KABUPATEN BANDUNG,PEREMPUAN,0,2022
3205,KABUPATEN GARUT,LAKI-LAKI,0,2022
3205,KABUPATEN GARUT,PEREMPUAN,0,2022
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,2022
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,2022
3207,KABUPATEN CIAMIS,LAKI-LAKI,0,2022
3207,KABUPATEN CIAMIS,PEREMPUAN,0,2022
3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,2022
3208,KABUPATEN KUNINGAN,PEREMPUAN,2,2022
3209,KABUPATEN CIREBON,LAKI-LAKI,0,2022
3209,KABUPATEN CIREBON,PEREMPUAN,4,2022
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,2022
3210,KABUPATEN MAJALENGKA,PEREMPUAN,0,2022
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,2022
3211,KABUPATEN SUMEDANG,PEREMPUAN,0,2022
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,2022
3212,KABUPATEN INDRAMAYU,PEREMPUAN,0,2022
3213,KABUPATEN SUBANG,LAKI-LAKI,0,2022
3213,KABUPATEN SUBANG,PEREMPUAN,0,2022
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,2022
3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,2022
3215,KABUPATEN KARAWANG,LAKI-LAKI,0,2022
3215,KABUPATEN KARAWANG,PEREMPUAN,0,2022
3216,KABUPATEN BEKASI,LAKI-LAKI,1,2022
3216,KABUPATEN BEKASI,PEREMPUAN,0,2022
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,2022
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,2,2022
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2022
3218,KABUPATEN PANGANDARAN,PEREMPUAN,1,2022
3271,KOTA BOGOR,LAKI-LAKI,0,2022
3271,KOTA BOGOR,PEREMPUAN,1,2022
3272,KOTA SUKABUMI,LAKI-LAKI,0,2022
3272,KOTA SUKABUMI,PEREMPUAN,1,2022
3273,KOTA BANDUNG,LAKI-LAKI,0,2022
3273,KOTA BANDUNG,PEREMPUAN,10,2022
3274,KOTA CIREBON,LAKI-LAKI,0,2022
3274,KOTA CIREBON,PEREMPUAN,0,2022
3275,KOTA BEKASI,LAKI-LAKI,0,2022
3275,KOTA BEKASI,PEREMPUAN,0,2022
3276,KOTA DEPOK,LAKI-LAKI,1,2022
3276,KOTA DEPOK,PEREMPUAN,0,2022
3277,KOTA CIMAHI,LAKI-LAKI,0,2022
3277,KOTA CIMAHI,PEREMPUAN,1,2022
3278,KOTA TASIKMALAYA,LAKI-LAKI,0,2022
3278,KOTA TASIKMALAYA,PEREMPUAN,0,2022
3279,KOTA BANJAR,LAKI-LAKI,0,2022
3279,KOTA BANJAR,PEREMPUAN,0,2022
