kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_usia,jumlah_korban,tahun
3215,KABUPATEN KARAWANG,LAKI-LAKI,0-5,1,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,13-17,1,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,18-24,0,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,25-44,2,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,45-59,0,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,6-12,1,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,60+,0,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,0-5,0,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,13-17,7,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,18-24,1,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,25-44,8,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,45-59,1,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,6-12,5,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,60+,0,2018
3215,KABUPATEN KARAWANG,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,0-5,1,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,13-17,0,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,18-24,0,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,25-44,1,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,45-59,0,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,6-12,1,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,60+,0,2018
3216,KABUPATEN BEKASI,LAKI-LAKI,TIDAK DIKETAHUI,2,2018
3216,KABUPATEN BEKASI,PEREMPUAN,0-5,0,2018
3216,KABUPATEN BEKASI,PEREMPUAN,13-17,1,2018
3216,KABUPATEN BEKASI,PEREMPUAN,18-24,0,2018
3216,KABUPATEN BEKASI,PEREMPUAN,25-44,1,2018
3216,KABUPATEN BEKASI,PEREMPUAN,45-59,0,2018
3216,KABUPATEN BEKASI,PEREMPUAN,6-12,0,2018
3216,KABUPATEN BEKASI,PEREMPUAN,60+,0,2018
3216,KABUPATEN BEKASI,PEREMPUAN,TIDAK DIKETAHUI,2,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0-5,2,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,13-17,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,18-24,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,25-44,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,45-59,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,6-12,2,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,60+,0,2018
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,0-5,2,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,13-17,2,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,18-24,1,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,25-44,3,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,45-59,0,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,6-12,3,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,60+,0,2018
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0-5,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,13-17,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,18-24,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,25-44,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,45-59,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,6-12,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,60+,0,2018
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,0-5,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,13-17,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,18-24,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,25-44,1,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,45-59,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,6-12,2,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,60+,0,2018
3218,KABUPATEN PANGANDARAN,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3271,KOTA BOGOR,LAKI-LAKI,0-5,0,2018
3271,KOTA BOGOR,LAKI-LAKI,13-17,0,2018
3271,KOTA BOGOR,LAKI-LAKI,18-24,0,2018
3271,KOTA BOGOR,LAKI-LAKI,25-44,0,2018
3271,KOTA BOGOR,LAKI-LAKI,45-59,0,2018
3271,KOTA BOGOR,LAKI-LAKI,6-12,2,2018
3271,KOTA BOGOR,LAKI-LAKI,60+,0,2018
3271,KOTA BOGOR,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3271,KOTA BOGOR,PEREMPUAN,0-5,0,2018
3271,KOTA BOGOR,PEREMPUAN,13-17,4,2018
3271,KOTA BOGOR,PEREMPUAN,18-24,1,2018
3271,KOTA BOGOR,PEREMPUAN,25-44,1,2018
3271,KOTA BOGOR,PEREMPUAN,45-59,0,2018
3271,KOTA BOGOR,PEREMPUAN,6-12,5,2018
3271,KOTA BOGOR,PEREMPUAN,60+,0,2018
3271,KOTA BOGOR,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,0-5,1,2018
3272,KOTA SUKABUMI,LAKI-LAKI,13-17,2,2018
3272,KOTA SUKABUMI,LAKI-LAKI,18-24,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,25-44,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,45-59,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,6-12,9,2018
3272,KOTA SUKABUMI,LAKI-LAKI,60+,0,2018
3272,KOTA SUKABUMI,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3272,KOTA SUKABUMI,PEREMPUAN,0-5,0,2018
3272,KOTA SUKABUMI,PEREMPUAN,13-17,7,2018
3272,KOTA SUKABUMI,PEREMPUAN,18-24,1,2018
3272,KOTA SUKABUMI,PEREMPUAN,25-44,6,2018
3272,KOTA SUKABUMI,PEREMPUAN,45-59,0,2018
3272,KOTA SUKABUMI,PEREMPUAN,6-12,3,2018
3272,KOTA SUKABUMI,PEREMPUAN,60+,0,2018
3272,KOTA SUKABUMI,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3273,KOTA BANDUNG,LAKI-LAKI,0-5,2,2018
3273,KOTA BANDUNG,LAKI-LAKI,13-17,1,2018
3273,KOTA BANDUNG,LAKI-LAKI,18-24,0,2018
3273,KOTA BANDUNG,LAKI-LAKI,25-44,2,2018
3273,KOTA BANDUNG,LAKI-LAKI,45-59,0,2018
3273,KOTA BANDUNG,LAKI-LAKI,6-12,5,2018
3273,KOTA BANDUNG,LAKI-LAKI,60+,0,2018
3273,KOTA BANDUNG,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3273,KOTA BANDUNG,PEREMPUAN,0-5,1,2018
3273,KOTA BANDUNG,PEREMPUAN,13-17,9,2018
3273,KOTA BANDUNG,PEREMPUAN,18-24,5,2018
3273,KOTA BANDUNG,PEREMPUAN,25-44,10,2018
3273,KOTA BANDUNG,PEREMPUAN,45-59,4,2018
3273,KOTA BANDUNG,PEREMPUAN,6-12,5,2018
3273,KOTA BANDUNG,PEREMPUAN,60+,1,2018
3273,KOTA BANDUNG,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3274,KOTA CIREBON,LAKI-LAKI,0-5,0,2018
3274,KOTA CIREBON,LAKI-LAKI,13-17,1,2018
3274,KOTA CIREBON,LAKI-LAKI,18-24,0,2018
3274,KOTA CIREBON,LAKI-LAKI,25-44,0,2018
3274,KOTA CIREBON,LAKI-LAKI,45-59,0,2018
3274,KOTA CIREBON,LAKI-LAKI,6-12,7,2018
3274,KOTA CIREBON,LAKI-LAKI,60+,0,2018
3274,KOTA CIREBON,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3274,KOTA CIREBON,PEREMPUAN,0-5,0,2018
3274,KOTA CIREBON,PEREMPUAN,13-17,0,2018
3274,KOTA CIREBON,PEREMPUAN,18-24,0,2018
3274,KOTA CIREBON,PEREMPUAN,25-44,0,2018
3274,KOTA CIREBON,PEREMPUAN,45-59,0,2018
3274,KOTA CIREBON,PEREMPUAN,6-12,0,2018
3274,KOTA CIREBON,PEREMPUAN,60+,0,2018
3274,KOTA CIREBON,PEREMPUAN,TIDAK DIKETAHUI,1,2018
3275,KOTA BEKASI,LAKI-LAKI,0-5,0,2018
3275,KOTA BEKASI,LAKI-LAKI,13-17,0,2018
3275,KOTA BEKASI,LAKI-LAKI,18-24,0,2018
3275,KOTA BEKASI,LAKI-LAKI,25-44,0,2018
3275,KOTA BEKASI,LAKI-LAKI,45-59,0,2018
3275,KOTA BEKASI,LAKI-LAKI,6-12,1,2018
3275,KOTA BEKASI,LAKI-LAKI,60+,0,2018
3275,KOTA BEKASI,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3275,KOTA BEKASI,PEREMPUAN,0-5,0,2018
3275,KOTA BEKASI,PEREMPUAN,13-17,1,2018
3275,KOTA BEKASI,PEREMPUAN,18-24,0,2018
3275,KOTA BEKASI,PEREMPUAN,25-44,1,2018
3275,KOTA BEKASI,PEREMPUAN,45-59,0,2018
3275,KOTA BEKASI,PEREMPUAN,6-12,0,2018
3275,KOTA BEKASI,PEREMPUAN,60+,0,2018
3275,KOTA BEKASI,PEREMPUAN,TIDAK DIKETAHUI,4,2018
3276,KOTA DEPOK,LAKI-LAKI,0-5,0,2018
3276,KOTA DEPOK,LAKI-LAKI,13-17,2,2018
3276,KOTA DEPOK,LAKI-LAKI,18-24,0,2018
3276,KOTA DEPOK,LAKI-LAKI,25-44,0,2018
3276,KOTA DEPOK,LAKI-LAKI,45-59,0,2018
3276,KOTA DEPOK,LAKI-LAKI,6-12,1,2018
3276,KOTA DEPOK,LAKI-LAKI,60+,0,2018
3276,KOTA DEPOK,LAKI-LAKI,TIDAK DIKETAHUI,2,2018
3276,KOTA DEPOK,PEREMPUAN,0-5,0,2018
3276,KOTA DEPOK,PEREMPUAN,13-17,3,2018
